[2025-10-13 20:32:54,681: INFO: main: Welcome to our custom log]
[2025-10-19 23:48:57,326: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-19 23:48:57,329: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-19 23:48:57,332: INFO: common: created directory at: artifacts]
[2025-10-19 23:48:57,332: ERROR: 1530445618: Error occurred in data ingestion config : 'function' object has no attribute 'unzip_dir']
[2025-10-19 23:51:12,352: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-19 23:51:12,357: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-19 23:51:12,361: INFO: common: created directory at: artifacts]
[2025-10-19 23:51:12,362: ERROR: 2091748238: Error occurred in data ingestion config : 'function' object has no attribute 'unzip_dir']
[2025-10-19 23:51:59,522: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-19 23:51:59,526: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-19 23:51:59,529: INFO: common: created directory at: artifacts]
[2025-10-19 23:51:59,530: INFO: common: created directory at: artifacts\data_ingestion]
[2025-10-19 23:52:25,804: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-19 23:52:25,806: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-19 23:52:25,807: INFO: common: created directory at: artifacts]
[2025-10-19 23:52:25,809: INFO: common: created directory at: artifacts\data_ingestion]
[2025-10-19 23:52:25,810: INFO: 4069922260: Downloading file from :[https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip]]
[2025-10-19 23:56:45,667: INFO: 4069922260: Download data from [https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip] ]
[2025-10-20 00:03:55,819: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-20 00:03:55,824: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-20 00:03:55,826: INFO: common: created directory at: artifacts]
[2025-10-20 00:03:55,830: INFO: common: created directory at: artifacts\data_ingestion]
[2025-10-20 00:03:55,832: INFO: 4069922260: Downloading file from :[https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip]]
[2025-10-20 00:08:19,562: INFO: 4069922260: Download data from [https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip] ]
[2025-10-20 00:10:27,437: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-20 00:10:27,439: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-20 00:10:27,440: INFO: common: created directory at: artifacts]
[2025-10-20 00:10:27,440: INFO: common: created directory at: artifacts\data_ingestion]
[2025-10-20 00:10:27,440: INFO: 582219750: Downloading file from :[https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip]]
[2025-10-20 00:14:38,923: INFO: 582219750: Download data from [https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip] ]
[2025-10-20 00:28:39,552: INFO: main: >>>>>> Stage Data Ingestion Stage started <<<<<<]
[2025-10-20 00:28:39,554: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-20 00:28:39,554: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-20 00:28:39,555: INFO: common: created directory at: artifacts]
[2025-10-20 00:28:39,555: INFO: common: created directory at: artifacts\data_ingestion]
[2025-10-20 00:28:39,556: INFO: data_ingestion: Downloading file from :[https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip]]
[2025-10-20 00:32:57,066: INFO: data_ingestion: Download data from [https://drive.google.com/file/d/1h1jzZ307vV6pKkaERxFF4jn9wne9XHp7/view?usp=sharing] to :[artifacts/data_ingestion/data.zip] ]
[2025-10-20 00:33:12,599: INFO: main: >>>>>> Stage Data Ingestion Stage completed <<<<<<

x==========x]
